"month","year","AgeMonths","mass"
1,1997,28,6.550532042
2,1997,29,6.546544981
3,1997,30,6.543616578
4,1997,31,6.555384731
5,1997,32,6.569151041
6,1997,33,6.547182396
7,1997,34,6.535885888
8,1997,28,6.599431673
9,1997,29,6.5386653415
10,1997,30,6.5411298485
11,1997,31,6.5192435295
12,1997,32,6.514518339
1,1998,33,6.52254592
2,1998,34,6.52702723
3,1998,35,6.569783914
4,1998,29,6.662745167
5,1998,28,6.6296440825
6,1998,34.3333333333333,6.591473987
7,1998,35.3333333333333,6.58927529533333
8,1998,36.3333333333333,6.593165134
9,1998,37.3333333333333,6.61868615133333
10,1998,38.3333333333333,6.66376955633333
11,1998,34,6.6702259025
12,1998,35,6.64210789
1,1999,36,6.658715288
2,1999,36.3333333333333,6.59501394266667
3,1999,37.3333333333333,6.604782781
4,1999,35.25,6.59258028225
5,1999,36.25,6.62185450575
6,1999,37.25,6.62681001725
7,1999,38.25,6.624897014
8,1999,39.25,6.6130274255
9,1999,40.25,6.6210817145
10,1999,40.6666666666667,6.67267712333333
11,1999,41.6666666666667,6.68592842433333
12,1999,37.25,6.66617314875
1,2000,38.25,6.669207655
2,2000,39.25,6.65972777175
3,2000,40.25,6.650083204
4,2000,41.25,6.6521669135
5,2000,39,6.661758246
6,2000,40,6.6737314932
7,2000,41,6.6771160678
8,2000,42,6.6738393668
9,2000,43,6.681299138
10,2000,40.3333333333333,6.645005676
11,2000,39.75,6.61775001525
12,2000,40.75,6.58499213275
1,2001,41.75,6.578146879
2,2001,42,6.5654768132
3,2001,43,6.574072307
4,2001,40.6,6.6221945688
5,2001,41.5,6.66220778275
6,2001,42.75,6.65880201875
7,2001,43.1666666666667,6.6204288035
8,2001,43.6,6.612253306
9,2001,38.4,6.610611744
10,2001,36.2,6.6467090092
11,2001,36.4444444444444,6.66259709111111
12,2001,37.4444444444444,6.65700665677778
1,2002,37.8888888888889,6.65203414688889
2,2002,38.8888888888889,6.64898872455556
3,2002,47.75,6.648674092625
4,2002,48.75,6.6541912165
5,2002,51.2857142857143,6.658177414
6,2002,52.2857142857143,6.663293501
7,2002,53.2857142857143,6.66355276642857
8,2002,56,6.67261947466667
9,2002,55.2857142857143,6.66681349757143
10,2002,54.5555555555556,6.665690284
11,2002,54.5555555555556,6.67732847255556
12,2002,55.5555555555556,6.65969105177778
1,2003,54,6.65156018033333
2,2003,50,6.62646577166667
3,2003,51,6.621217343
4,2003,52,6.62289951211111
5,2003,53,6.62139590744444
6,2003,54,6.61151150066667
7,2003,52.7,6.5688779296
8,2003,53.7,6.57217427
9,2003,54.7,6.600316785
10,2003,58.875,6.67073512875
11,2003,55.7777777777778,6.686876382
12,2003,56.7777777777778,6.69574698366667
1,2004,57.7777777777778,6.68819312233333
2,2004,58.7777777777778,6.67731372811111
3,2004,59.4444444444444,6.66834817711111
4,2004,59.4444444444444,6.66826287555556
5,2004,60.4444444444444,6.67655830666667
6,2004,61.4444444444444,6.67128990255556
7,2004,62.4444444444444,6.66712478644444
8,2004,63.4444444444444,6.66166939411111
9,2004,64.4444444444444,6.67170269655556
10,2004,65.7,6.6845540019
11,2004,66.3333333333333,6.69122647411111
12,2004,62.7,6.67354705
1,2005,63.7,6.6625341773
2,2005,64.7,6.6484509388
3,2005,65.7,6.6598706958
4,2005,66.7,6.6715715259
5,2005,59,6.65996454858333
6,2005,64.0909090909091,6.66532230345455
7,2005,57.1,6.6732404153
8,2005,58.1,6.6706737013
9,2005,59.1,6.6747717688
10,2005,62,6.68273513344444
11,2005,60.3,6.6719858402
12,2005,57.0909090909091,6.65124233336364
1,2006,56.8,6.6619460123
2,2006,54.0909090909091,6.67739844854545
3,2006,55.0909090909091,6.68740795818182
4,2006,56.0909090909091,6.68035214209091
5,2006,57.0909090909091,6.68992711454545
6,2006,58.0909090909091,6.69326404290909
7,2006,54.2222222222222,6.67782388622222
8,2006,52.8181818181818,6.66086430972727
9,2006,55.9,6.6444512271
10,2006,57.4,6.6250804052
11,2006,55.4545454545455,6.614026327
12,2006,56.4545454545455,6.61196380718182
1,2007,63.1111111111111,6.60892990888889
2,2007,57.7272727272727,6.60788129081818
3,2007,59.8888888888889,6.59363230144444
4,2007,53.7,6.6054707407
5,2007,53.2,6.6109718642
6,2007,42.8888888888889,6.576364225
7,2007,57.7142857142857,6.59732550728571
8,2007,54.25,6.559230431125
9,2007,54.75,6.556518874625
10,2007,45.1428571428571,6.55916243314286
11,2007,46.1428571428571,6.616199551
12,2007,47.1428571428571,6.645151671
1,2008,48.1428571428571,6.64407494785714
2,2008,46.5714285714286,6.61641713414286
3,2008,49,6.617074258
4,2008,50,6.627666566
5,2008,48,6.661837783
6,2008,49,6.673132374
7,2008,50,6.675101892
8,2008,49.875,6.67161680325
9,2008,50.875,6.6539267585
10,2008,51.875,6.645489120875
11,2008,52.875,6.628552160125
12,2008,53.875,6.635651259875
1,2009,64.75,6.62768170025
2,2009,56.2857142857143,6.63985784542857
3,2009,57.2857142857143,6.63094437
4,2009,61.5,6.63452596166667
5,2009,62.5,6.62920555133333
6,2009,63.5,6.62833481216667
7,2009,64.5,6.622774816
8,2009,66.4,6.6422766866
9,2009,67.4,6.6538841284
10,2009,68.4,6.6626850526
11,2009,69.4,6.6709649248
12,2009,70.4,6.6705393662
1,2010,80.3333333333333,6.616191217
2,2010,78.5,6.68654182825
3,2010,67.4,6.66376463
4,2010,63.5,6.649571735
5,2010,64.5,6.6621082895
6,2010,65.5,6.66343202583333
7,2010,66.5,6.647444425
8,2010,61.2857142857143,6.61242900971429
9,2010,62.2857142857143,6.60107481771429
10,2010,63.2857142857143,6.59841960271429
11,2010,64.2857142857143,6.61759885185714
12,2010,60.625,6.650548279125
1,2011,64.8,6.658283192
2,2011,62.625,6.657131768875
3,2011,49.125,6.65722902875
4,2011,50.125,6.665044437625
5,2011,51.125,6.6760000825
6,2011,45.2857142857143,6.68647090571429
7,2011,47.25,6.648415846
8,2011,50.7142857142857,6.60633577157143
9,2011,49.625,6.589544733125
10,2011,50.5,6.5567298925
11,2011,49.8888888888889,6.56095307411111
12,2011,50.8888888888889,6.58230327111111
1,2012,48.75,6.58141194825
2,2012,51.5,6.5963732835
3,2012,53.7777777777778,6.58629461622222
4,2012,50,6.58463944454545
5,2012,51.6,6.5989651502
6,2012,52.6,6.6054405952
7,2012,50.8181818181818,6.58009546818182
8,2012,50,6.57626115258333
9,2012,52.75,6.60010003233333
10,2012,52.5,6.60392331308333
11,2012,48.5454545454545,6.57141077827273
12,2012,47.9090909090909,6.56660824509091
1,2013,49.7777777777778,6.55662369288889
2,2013,51.1,6.5158108101
3,2013,49.8888888888889,6.51688244044444
4,2013,50.5555555555556,6.55803055755556
5,2013,53.2222222222222,6.59145569188889
6,2013,54.2222222222222,6.60220549722222
7,2013,57.1111111111111,6.592014078
8,2013,53.625,6.579747947125
9,2013,54.7142857142857,6.57442630285714
10,2013,52.4285714285714,6.55444227857143
11,2013,52.375,6.626135099375
12,2013,49.125,6.647513344875
1,2014,44.5714285714286,6.64004349928571
2,2014,50.6,6.6406571087
3,2014,51.6,6.6361696834
4,2014,52.6,6.6335333734
5,2014,53.6,6.6327099741
6,2014,54.6,6.6254662521
7,2014,54.2222222222222,6.64022779033333
8,2014,55.2222222222222,6.626703399
9,2014,56.2222222222222,6.60647461022222
10,2014,56.1428571428571,6.584154076
11,2014,57.2857142857143,6.61798523357143
12,2014,55.25,6.577134774
1,2015,53,6.57782107514286
2,2015,55.8571428571429,6.59763509942857
3,2015,59.6666666666667,6.640499551
4,2015,57.8571428571429,6.67571812014286
5,2015,61.6666666666667,6.67413483966667
6,2015,62.6666666666667,6.659414186
7,2015,54,6.66695670766667
8,2015,55,6.66028390466667
9,2015,63,6.6511035804
10,2015,56,6.6206138435
11,2015,61.5,6.5964104195
12,2015,62.5,6.50014449875
1,2016,64,6.46426981833333
2,2016,45.5,6.492163396
3,2016,43.6666666666667,6.60140133933333
4,2016,47.5,6.615604104
5,2016,40.5,6.6626822235
6,2016,43.2,6.6557448534
7,2016,28.7142857142857,6.63235005014286
8,2016,25.25,6.6699657705
9,2016,33.2,6.6299815514
10,2016,26.5,6.622876523
11,2016,33.6,6.5715940254
12,2016,35.75,6.59856665875
1,2017,27.2,6.6182968288
2,2017,28.5,6.6402842675
3,2017,28.2,6.6287983264
4,2017,29.2,6.6261694914
5,2017,29.6666666666667,6.63921225466667
6,2017,33,6.650596736
7,2017,34,6.637724185
8,2017,35,6.6138853945
9,2017,36,6.622717144
10,2017,37,6.615525257
11,2017,38,6.5916767585
12,2017,39,6.5465164545
1,2018,44,6.558576138
2,2018,45,6.597962893
3,2018,46,6.624162329
4,2018,47,6.64508728
5,2018,48,6.632428798
6,2018,49,6.605472836
7,2018,50,6.525904507
10,2018,30,6.544032726
11,2018,31,6.584160796
12,2018,32,6.572534758
