"hist","proj","run","rcp","gcm","cutoff"
0.454545454545455,0.772727272727273,"Mid century","RCP2.6","MPI-ESM-MR",">6 m"
0.454545454545455,0.681818181818182,"End century","RCP2.6","MPI-ESM-MR",">6 m"
0.409090909090909,0.681818181818182,"Mid century","RCP2.6","MPI-ESM-MR",">7 m"
0.409090909090909,0.590909090909091,"End century","RCP2.6","MPI-ESM-MR",">7 m"
0.318181818181818,0.5,"Mid century","RCP2.6","MPI-ESM-MR",">8 m"
0.318181818181818,0.5,"End century","RCP2.6","MPI-ESM-MR",">8 m"
0.181818181818182,0.363636363636364,"Mid century","RCP2.6","MPI-ESM-MR",">9 m"
0.181818181818182,0.454545454545455,"End century","RCP2.6","MPI-ESM-MR",">9 m"
0.0454545454545455,0.272727272727273,"Mid century","RCP2.6","MPI-ESM-MR",">10 m"
0.0454545454545455,0.363636363636364,"End century","RCP2.6","MPI-ESM-MR",">10 m"
0.5,0.818181818181818,"Mid century","RCP4.5","MPI-ESM-MR",">6 m"
0.5,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">6 m"
0.272727272727273,0.818181818181818,"Mid century","RCP4.5","MPI-ESM-MR",">7 m"
0.272727272727273,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">7 m"
0.181818181818182,0.772727272727273,"Mid century","RCP4.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">8 m"
0.0454545454545455,0.727272727272727,"Mid century","RCP4.5","MPI-ESM-MR",">9 m"
0.0454545454545455,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">9 m"
0,0.590909090909091,"Mid century","RCP4.5","MPI-ESM-MR",">10 m"
0,0.909090909090909,"End century","RCP4.5","MPI-ESM-MR",">10 m"
0.5,0.954545454545455,"Mid century","RCP8.5","MPI-ESM-MR",">6 m"
0.5,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">6 m"
0.318181818181818,0.909090909090909,"Mid century","RCP8.5","MPI-ESM-MR",">7 m"
0.318181818181818,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">7 m"
0.181818181818182,0.909090909090909,"Mid century","RCP8.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">8 m"
0.136363636363636,0.909090909090909,"Mid century","RCP8.5","MPI-ESM-MR",">9 m"
0.136363636363636,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">9 m"
0.136363636363636,0.772727272727273,"Mid century","RCP8.5","MPI-ESM-MR",">10 m"
0.136363636363636,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">10 m"
0.347826086956522,0.80952380952381,"Mid century","RCP2.6","IPSL-CM5A-MR",">6 m"
0.347826086956522,0.5,"End century","RCP2.6","IPSL-CM5A-MR",">6 m"
0.0434782608695652,0.619047619047619,"Mid century","RCP2.6","IPSL-CM5A-MR",">7 m"
0.0434782608695652,0.409090909090909,"End century","RCP2.6","IPSL-CM5A-MR",">7 m"
0,0.333333333333333,"Mid century","RCP2.6","IPSL-CM5A-MR",">8 m"
0,0.227272727272727,"End century","RCP2.6","IPSL-CM5A-MR",">8 m"
0,0.142857142857143,"Mid century","RCP2.6","IPSL-CM5A-MR",">9 m"
0,0.136363636363636,"End century","RCP2.6","IPSL-CM5A-MR",">9 m"
0,0.0476190476190476,"Mid century","RCP2.6","IPSL-CM5A-MR",">10 m"
0,0.0454545454545455,"End century","RCP2.6","IPSL-CM5A-MR",">10 m"
0.347826086956522,1,"Mid century","RCP4.5","IPSL-CM5A-MR",">6 m"
0.347826086956522,0.954545454545455,"End century","RCP4.5","IPSL-CM5A-MR",">6 m"
0.0869565217391304,0.857142857142857,"Mid century","RCP4.5","IPSL-CM5A-MR",">7 m"
0.0869565217391304,0.909090909090909,"End century","RCP4.5","IPSL-CM5A-MR",">7 m"
0,0.714285714285714,"Mid century","RCP4.5","IPSL-CM5A-MR",">8 m"
0,0.681818181818182,"End century","RCP4.5","IPSL-CM5A-MR",">8 m"
0,0.523809523809524,"Mid century","RCP4.5","IPSL-CM5A-MR",">9 m"
0,0.272727272727273,"End century","RCP4.5","IPSL-CM5A-MR",">9 m"
0,0.285714285714286,"Mid century","RCP4.5","IPSL-CM5A-MR",">10 m"
0,0.0909090909090909,"End century","RCP4.5","IPSL-CM5A-MR",">10 m"
0.347826086956522,0.952380952380952,"Mid century","RCP6.0","IPSL-CM5A-MR",">6 m"
0.347826086956522,0.954545454545455,"End century","RCP6.0","IPSL-CM5A-MR",">6 m"
0.0869565217391304,0.857142857142857,"Mid century","RCP6.0","IPSL-CM5A-MR",">7 m"
0.0869565217391304,0.954545454545455,"End century","RCP6.0","IPSL-CM5A-MR",">7 m"
0,0.666666666666667,"Mid century","RCP6.0","IPSL-CM5A-MR",">8 m"
0,0.954545454545455,"End century","RCP6.0","IPSL-CM5A-MR",">8 m"
0,0.333333333333333,"Mid century","RCP6.0","IPSL-CM5A-MR",">9 m"
0,0.818181818181818,"End century","RCP6.0","IPSL-CM5A-MR",">9 m"
0,0.19047619047619,"Mid century","RCP6.0","IPSL-CM5A-MR",">10 m"
0,0.681818181818182,"End century","RCP6.0","IPSL-CM5A-MR",">10 m"
0.304347826086957,1,"Mid century","RCP8.5","IPSL-CM5A-MR",">6 m"
0.304347826086957,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">6 m"
0.173913043478261,1,"Mid century","RCP8.5","IPSL-CM5A-MR",">7 m"
0.173913043478261,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">7 m"
0,0.80952380952381,"Mid century","RCP8.5","IPSL-CM5A-MR",">8 m"
0,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">8 m"
0,0.761904761904762,"Mid century","RCP8.5","IPSL-CM5A-MR",">9 m"
0,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">9 m"
0,0.571428571428571,"Mid century","RCP8.5","IPSL-CM5A-MR",">10 m"
0,0.954545454545455,"End century","RCP8.5","IPSL-CM5A-MR",">10 m"
0.434782608695652,0.590909090909091,"Mid century","RCP4.5","MIROC5",">6 m"
0.434782608695652,0.909090909090909,"End century","RCP4.5","MIROC5",">6 m"
0.304347826086957,0.409090909090909,"Mid century","RCP4.5","MIROC5",">7 m"
0.304347826086957,0.636363636363636,"End century","RCP4.5","MIROC5",">7 m"
0.217391304347826,0.363636363636364,"Mid century","RCP4.5","MIROC5",">8 m"
0.217391304347826,0.454545454545455,"End century","RCP4.5","MIROC5",">8 m"
0.0869565217391304,0.0909090909090909,"Mid century","RCP4.5","MIROC5",">9 m"
0.0869565217391304,0.181818181818182,"End century","RCP4.5","MIROC5",">9 m"
0.0869565217391304,0,"Mid century","RCP4.5","MIROC5",">10 m"
0.0869565217391304,0.0909090909090909,"End century","RCP4.5","MIROC5",">10 m"
0.478260869565217,0.545454545454545,"Mid century","RCP6.0","MIROC5",">6 m"
0.478260869565217,0.909090909090909,"End century","RCP6.0","MIROC5",">6 m"
0.304347826086957,0.318181818181818,"Mid century","RCP6.0","MIROC5",">7 m"
0.304347826086957,0.681818181818182,"End century","RCP6.0","MIROC5",">7 m"
0.260869565217391,0.0454545454545455,"Mid century","RCP6.0","MIROC5",">8 m"
0.260869565217391,0.318181818181818,"End century","RCP6.0","MIROC5",">8 m"
0.0869565217391304,0,"Mid century","RCP6.0","MIROC5",">9 m"
0.0869565217391304,0.0909090909090909,"End century","RCP6.0","MIROC5",">9 m"
0.0434782608695652,0,"Mid century","RCP6.0","MIROC5",">10 m"
0.0434782608695652,0.0909090909090909,"End century","RCP6.0","MIROC5",">10 m"
0.434782608695652,0.909090909090909,"Mid century","RCP8.5","MIROC5",">6 m"
0.434782608695652,0.954545454545455,"End century","RCP8.5","MIROC5",">6 m"
0.304347826086957,0.727272727272727,"Mid century","RCP8.5","MIROC5",">7 m"
0.304347826086957,0.954545454545455,"End century","RCP8.5","MIROC5",">7 m"
0.217391304347826,0.318181818181818,"Mid century","RCP8.5","MIROC5",">8 m"
0.217391304347826,0.954545454545455,"End century","RCP8.5","MIROC5",">8 m"
0.0434782608695652,0.136363636363636,"Mid century","RCP8.5","MIROC5",">9 m"
0.0434782608695652,0.727272727272727,"End century","RCP8.5","MIROC5",">9 m"
0,0.0454545454545455,"Mid century","RCP8.5","MIROC5",">10 m"
0,0.454545454545455,"End century","RCP8.5","MIROC5",">10 m"
0.304347826086957,0.714285714285714,"Mid century","RCP2.6","GISS-E2-H",">6 m"
0.304347826086957,0.666666666666667,"End century","RCP2.6","GISS-E2-H",">6 m"
0.260869565217391,0.476190476190476,"Mid century","RCP2.6","GISS-E2-H",">7 m"
0.260869565217391,0.666666666666667,"End century","RCP2.6","GISS-E2-H",">7 m"
0.217391304347826,0.380952380952381,"Mid century","RCP2.6","GISS-E2-H",">8 m"
0.217391304347826,0.619047619047619,"End century","RCP2.6","GISS-E2-H",">8 m"
0.0869565217391304,0.333333333333333,"Mid century","RCP2.6","GISS-E2-H",">9 m"
0.0869565217391304,0.476190476190476,"End century","RCP2.6","GISS-E2-H",">9 m"
0,0.142857142857143,"Mid century","RCP2.6","GISS-E2-H",">10 m"
0,0.238095238095238,"End century","RCP2.6","GISS-E2-H",">10 m"
0.391304347826087,0.857142857142857,"Mid century","RCP4.5","GISS-E2-H",">6 m"
0.391304347826087,0.952380952380952,"End century","RCP4.5","GISS-E2-H",">6 m"
0.347826086956522,0.80952380952381,"Mid century","RCP4.5","GISS-E2-H",">7 m"
0.347826086956522,0.857142857142857,"End century","RCP4.5","GISS-E2-H",">7 m"
0.217391304347826,0.714285714285714,"Mid century","RCP4.5","GISS-E2-H",">8 m"
0.217391304347826,0.761904761904762,"End century","RCP4.5","GISS-E2-H",">8 m"
0.173913043478261,0.428571428571429,"Mid century","RCP4.5","GISS-E2-H",">9 m"
0.173913043478261,0.619047619047619,"End century","RCP4.5","GISS-E2-H",">9 m"
0.130434782608696,0.333333333333333,"Mid century","RCP4.5","GISS-E2-H",">10 m"
0.130434782608696,0.476190476190476,"End century","RCP4.5","GISS-E2-H",">10 m"
0.347826086956522,0.80952380952381,"Mid century","RCP6.0","GISS-E2-H",">6 m"
0.347826086956522,1,"End century","RCP6.0","GISS-E2-H",">6 m"
0.260869565217391,0.761904761904762,"Mid century","RCP6.0","GISS-E2-H",">7 m"
0.260869565217391,1,"End century","RCP6.0","GISS-E2-H",">7 m"
0.130434782608696,0.666666666666667,"Mid century","RCP6.0","GISS-E2-H",">8 m"
0.130434782608696,1,"End century","RCP6.0","GISS-E2-H",">8 m"
0,0.428571428571429,"Mid century","RCP6.0","GISS-E2-H",">9 m"
0,0.904761904761905,"End century","RCP6.0","GISS-E2-H",">9 m"
0,0.142857142857143,"Mid century","RCP6.0","GISS-E2-H",">10 m"
0,0.857142857142857,"End century","RCP6.0","GISS-E2-H",">10 m"
0.434782608695652,0.857142857142857,"Mid century","RCP8.5","GISS-E2-H",">6 m"
0.434782608695652,1,"End century","RCP8.5","GISS-E2-H",">6 m"
0.304347826086957,0.761904761904762,"Mid century","RCP8.5","GISS-E2-H",">7 m"
0.304347826086957,1,"End century","RCP8.5","GISS-E2-H",">7 m"
0.217391304347826,0.714285714285714,"Mid century","RCP8.5","GISS-E2-H",">8 m"
0.217391304347826,1,"End century","RCP8.5","GISS-E2-H",">8 m"
0.130434782608696,0.523809523809524,"Mid century","RCP8.5","GISS-E2-H",">9 m"
0.130434782608696,1,"End century","RCP8.5","GISS-E2-H",">9 m"
0.0869565217391304,0.380952380952381,"Mid century","RCP8.5","GISS-E2-H",">10 m"
0.0869565217391304,0.904761904761905,"End century","RCP8.5","GISS-E2-H",">10 m"
0.347826086956522,0.857142857142857,"Mid century","RCP4.5","inmcm4",">6 m"
0.347826086956522,0.954545454545455,"End century","RCP4.5","inmcm4",">6 m"
0.173913043478261,0.666666666666667,"Mid century","RCP4.5","inmcm4",">7 m"
0.173913043478261,0.818181818181818,"End century","RCP4.5","inmcm4",">7 m"
0.0869565217391304,0.571428571428571,"Mid century","RCP4.5","inmcm4",">8 m"
0.0869565217391304,0.636363636363636,"End century","RCP4.5","inmcm4",">8 m"
0,0.285714285714286,"Mid century","RCP4.5","inmcm4",">9 m"
0,0.409090909090909,"End century","RCP4.5","inmcm4",">9 m"
0,0.0476190476190476,"Mid century","RCP4.5","inmcm4",">10 m"
0,0.227272727272727,"End century","RCP4.5","inmcm4",">10 m"
0.347826086956522,1,"Mid century","RCP8.5","inmcm4",">6 m"
0.347826086956522,0.954545454545455,"End century","RCP8.5","inmcm4",">6 m"
0.173913043478261,0.952380952380952,"Mid century","RCP8.5","inmcm4",">7 m"
0.173913043478261,0.954545454545455,"End century","RCP8.5","inmcm4",">7 m"
0,0.80952380952381,"Mid century","RCP8.5","inmcm4",">8 m"
0,0.954545454545455,"End century","RCP8.5","inmcm4",">8 m"
0,0.523809523809524,"Mid century","RCP8.5","inmcm4",">9 m"
0,0.954545454545455,"End century","RCP8.5","inmcm4",">9 m"
0,0.238095238095238,"Mid century","RCP8.5","inmcm4",">10 m"
0,0.863636363636364,"End century","RCP8.5","inmcm4",">10 m"
0.260869565217391,0.761904761904762,"Mid century","RCP2.6","FIO-ESM",">6 m"
0.260869565217391,0.590909090909091,"End century","RCP2.6","FIO-ESM",">6 m"
0.260869565217391,0.619047619047619,"Mid century","RCP2.6","FIO-ESM",">7 m"
0.260869565217391,0.272727272727273,"End century","RCP2.6","FIO-ESM",">7 m"
0.0869565217391304,0.380952380952381,"Mid century","RCP2.6","FIO-ESM",">8 m"
0.0869565217391304,0.0454545454545455,"End century","RCP2.6","FIO-ESM",">8 m"
0,0.19047619047619,"Mid century","RCP2.6","FIO-ESM",">9 m"
0,0,"End century","RCP2.6","FIO-ESM",">9 m"
0,0.0952380952380952,"Mid century","RCP2.6","FIO-ESM",">10 m"
0,0,"End century","RCP2.6","FIO-ESM",">10 m"
0.304347826086957,0.952380952380952,"Mid century","RCP4.5","FIO-ESM",">6 m"
0.304347826086957,0.909090909090909,"End century","RCP4.5","FIO-ESM",">6 m"
0.217391304347826,0.80952380952381,"Mid century","RCP4.5","FIO-ESM",">7 m"
0.217391304347826,0.772727272727273,"End century","RCP4.5","FIO-ESM",">7 m"
0.0869565217391304,0.666666666666667,"Mid century","RCP4.5","FIO-ESM",">8 m"
0.0869565217391304,0.590909090909091,"End century","RCP4.5","FIO-ESM",">8 m"
0,0.476190476190476,"Mid century","RCP4.5","FIO-ESM",">9 m"
0,0.454545454545455,"End century","RCP4.5","FIO-ESM",">9 m"
0,0.0476190476190476,"Mid century","RCP4.5","FIO-ESM",">10 m"
0,0.227272727272727,"End century","RCP4.5","FIO-ESM",">10 m"
0.304347826086957,0.904761904761905,"Mid century","RCP6.0","FIO-ESM",">6 m"
0.304347826086957,0.909090909090909,"End century","RCP6.0","FIO-ESM",">6 m"
0.260869565217391,0.80952380952381,"Mid century","RCP6.0","FIO-ESM",">7 m"
0.260869565217391,0.909090909090909,"End century","RCP6.0","FIO-ESM",">7 m"
0.0869565217391304,0.666666666666667,"Mid century","RCP6.0","FIO-ESM",">8 m"
0.0869565217391304,0.863636363636364,"End century","RCP6.0","FIO-ESM",">8 m"
0.0434782608695652,0.428571428571429,"Mid century","RCP6.0","FIO-ESM",">9 m"
0.0434782608695652,0.545454545454545,"End century","RCP6.0","FIO-ESM",">9 m"
0,0.238095238095238,"Mid century","RCP6.0","FIO-ESM",">10 m"
0,0.318181818181818,"End century","RCP6.0","FIO-ESM",">10 m"
0.434782608695652,1,"Mid century","RCP8.5","FIO-ESM",">6 m"
0.434782608695652,0.954545454545455,"End century","RCP8.5","FIO-ESM",">6 m"
0.217391304347826,0.952380952380952,"Mid century","RCP8.5","FIO-ESM",">7 m"
0.217391304347826,0.954545454545455,"End century","RCP8.5","FIO-ESM",">7 m"
0.130434782608696,0.952380952380952,"Mid century","RCP8.5","FIO-ESM",">8 m"
0.130434782608696,0.954545454545455,"End century","RCP8.5","FIO-ESM",">8 m"
0,0.761904761904762,"Mid century","RCP8.5","FIO-ESM",">9 m"
0,0.909090909090909,"End century","RCP8.5","FIO-ESM",">9 m"
0,0.619047619047619,"Mid century","RCP8.5","FIO-ESM",">10 m"
0,0.863636363636364,"End century","RCP8.5","FIO-ESM",">10 m"
0.217391304347826,0.714285714285714,"Mid century","RCP2.6","NorESM1",">6 m"
0.217391304347826,0.545454545454545,"End century","RCP2.6","NorESM1",">6 m"
0.130434782608696,0.571428571428571,"Mid century","RCP2.6","NorESM1",">7 m"
0.130434782608696,0.363636363636364,"End century","RCP2.6","NorESM1",">7 m"
0.0434782608695652,0.380952380952381,"Mid century","RCP2.6","NorESM1",">8 m"
0.0434782608695652,0.227272727272727,"End century","RCP2.6","NorESM1",">8 m"
0,0.238095238095238,"Mid century","RCP2.6","NorESM1",">9 m"
0,0.136363636363636,"End century","RCP2.6","NorESM1",">9 m"
0,0.0952380952380952,"Mid century","RCP2.6","NorESM1",">10 m"
0,0.0909090909090909,"End century","RCP2.6","NorESM1",">10 m"
0.260869565217391,1,"Mid century","RCP4.5","NorESM1",">6 m"
0.260869565217391,0.954545454545455,"End century","RCP4.5","NorESM1",">6 m"
0.130434782608696,0.952380952380952,"Mid century","RCP4.5","NorESM1",">7 m"
0.130434782608696,0.863636363636364,"End century","RCP4.5","NorESM1",">7 m"
0,0.857142857142857,"Mid century","RCP4.5","NorESM1",">8 m"
0,0.863636363636364,"End century","RCP4.5","NorESM1",">8 m"
0,0.619047619047619,"Mid century","RCP4.5","NorESM1",">9 m"
0,0.636363636363636,"End century","RCP4.5","NorESM1",">9 m"
0,0.333333333333333,"Mid century","RCP4.5","NorESM1",">10 m"
0,0.272727272727273,"End century","RCP4.5","NorESM1",">10 m"
0.347826086956522,0.952380952380952,"Mid century","RCP6.0","NorESM1",">6 m"
0.347826086956522,0.954545454545455,"End century","RCP6.0","NorESM1",">6 m"
0.217391304347826,0.857142857142857,"Mid century","RCP6.0","NorESM1",">7 m"
0.217391304347826,0.954545454545455,"End century","RCP6.0","NorESM1",">7 m"
0,0.619047619047619,"Mid century","RCP6.0","NorESM1",">8 m"
0,0.863636363636364,"End century","RCP6.0","NorESM1",">8 m"
0,0.333333333333333,"Mid century","RCP6.0","NorESM1",">9 m"
0,0.636363636363636,"End century","RCP6.0","NorESM1",">9 m"
0,0.19047619047619,"Mid century","RCP6.0","NorESM1",">10 m"
0,0.318181818181818,"End century","RCP6.0","NorESM1",">10 m"
0.260869565217391,0.952380952380952,"Mid century","RCP8.5","NorESM1",">6 m"
0.260869565217391,0.954545454545455,"End century","RCP8.5","NorESM1",">6 m"
0.217391304347826,0.952380952380952,"Mid century","RCP8.5","NorESM1",">7 m"
0.217391304347826,0.954545454545455,"End century","RCP8.5","NorESM1",">7 m"
0.173913043478261,0.952380952380952,"Mid century","RCP8.5","NorESM1",">8 m"
0.173913043478261,0.954545454545455,"End century","RCP8.5","NorESM1",">8 m"
0.0434782608695652,0.904761904761905,"Mid century","RCP8.5","NorESM1",">9 m"
0.0434782608695652,0.954545454545455,"End century","RCP8.5","NorESM1",">9 m"
0,0.666666666666667,"Mid century","RCP8.5","NorESM1",">10 m"
0,0.954545454545455,"End century","RCP8.5","NorESM1",">10 m"
0.478260869565217,0.909090909090909,"Mid century","RCP2.6","CSIRO-Mk3-6-0",">6 m"
0.478260869565217,0.954545454545455,"End century","RCP2.6","CSIRO-Mk3-6-0",">6 m"
0.347826086956522,0.727272727272727,"Mid century","RCP2.6","CSIRO-Mk3-6-0",">7 m"
0.347826086956522,0.909090909090909,"End century","RCP2.6","CSIRO-Mk3-6-0",">7 m"
0.173913043478261,0.454545454545455,"Mid century","RCP2.6","CSIRO-Mk3-6-0",">8 m"
0.173913043478261,0.454545454545455,"End century","RCP2.6","CSIRO-Mk3-6-0",">8 m"
0.0434782608695652,0.0454545454545455,"Mid century","RCP2.6","CSIRO-Mk3-6-0",">9 m"
0.0434782608695652,0.181818181818182,"End century","RCP2.6","CSIRO-Mk3-6-0",">9 m"
